artist;title;description;dateSince;material;image;lat;lng;animal
De artiest volgt nog;Steenplastiek Rij ruiters;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.352360432039902;POINT4.81047523328375;paard
De artiest volgt nog;Tegeltableau Wingerdweg, Barmhartige Samaritaan;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.391124704165101;POINT4.91652400131195;paard
De artiest volgt nog;Wachter;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3593658757909;POINT4.77995395777798;paard
De artiest volgt nog;Willem van Oranje (1533-1584);De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.346655450608203;POINT4.87806246264837;paard
De artiest volgt nog;Zeemeermin en paardje;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.348596204140101;POINT4.86048380125392;paard
De artiest volgt nog;Zonder titel - Arthur Spronken;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.373029004154603;POINT4.83007300122472;paard
De artiest volgt nog;Keramische panelen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;paard
De artiest volgt nog;Reliëftegels, Dieren;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.346896202638199;POINT4.8633055727457;paard, kikker, vogel, aap
De artiest volgt nog;Kinderbrug;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.347388027857797;POINT4.88601709149242;paard, konijn, eekhoorn, vis, kat, poes, vogel, lam, slak, slakkenhuis, hond, bizon
De artiest volgt nog;Zonder titel - Hildo Krop - Christiaan de Wetstraat 23;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354476634168002;POINT4.91899059754682;paard, vos, bok, raaf, leeuw
De artiest volgt nog;Schildering speelplaats;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.355701965945997;POINT4.93343353562452;panter, paard, kikker, neushoorn, kangoeroe
De artiest volgt nog;Erkerversieringen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.358919883352797;POINT4.91132045726372;papegaai, ram, schaap
De artiest volgt nog;Rouw en Landschap met palmen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.344873704137598;POINT4.93541110132862;pauw
